Method,Carbon_%,Cost_%,Peak_%,Ramping,Load_Factor,Avg_Peak,Annual_Peak,Net_Consumption
Meta-RL,7.236694361107551,8.099077645020316,5.866131167207019,0.13423198912550974,1.0055755750401134,0.9300621982190442,0.9413386883279298,0.926734970588484
Standard RL,1.1899775106761517,0.9457814341728146,1.5248404497032646,0.003851381966470322,0.9988978414408896,0.9885926401131719,0.9847515955029673,0.9873344249118805
RBC,-8.759423758781146,-8.935118520371644,-5.866131167207035,0.00045310376076121433,0.9901866975623163,1.0822566258779869,1.0586613116720702,1.0878472240051376
